color,type,value
red,number,0
red,number,1
red,number,1
red,number,2
red,number,2
red,number,3
red,number,3
red,number,4
red,number,4
red,number,5
red,number,5
red,number,6
red,number,6
red,number,7
red,number,7
red,number,8
red,number,8
red,number,9
red,number,9
red,action,skip
red,action,skip
red,action,reverse
red,action,reverse
red,action,draw2
red,action,draw2

blue,number,0
blue,number,1
blue,number,1
blue,number,2
blue,number,2
blue,number,3
blue,number,3
blue,number,4
blue,number,4
blue,number,5
blue,number,5
blue,number,6
blue,number,6
blue,number,7
blue,number,7
blue,number,8
blue,number,8
blue,number,9
blue,number,9
blue,action,skip
blue,action,skip
blue,action,reverse
blue,action,reverse
blue,action,draw2
blue,action,draw2

green,number,0
green,number,1
green,number,1
green,number,2
green,number,2
green,number,3
green,number,3
green,number,4
green,number,4
green,number,5
green,number,5
green,number,6
green,number,6
green,number,7
green,number,7
green,number,8
green,number,8
green,number,9
green,number,9
green,action,skip
green,action,skip
green,action,reverse
green,action,reverse
green,action,draw2
green,action,draw2

yellow,number,0
yellow,number,1
yellow,number,1
yellow,number,2
yellow,number,2
yellow,number,3
yellow,number,3
yellow,number,4
yellow,number,4
yellow,number,5
yellow,number,5
yellow,number,6
yellow,number,6
yellow,number,7
yellow,number,7
yellow,number,8
yellow,number,8
yellow,number,9
yellow,number,9
yellow,action,skip
yellow,action,skip
yellow,action,reverse
yellow,action,reverse
yellow,action,draw2
yellow,action,draw2

purple,number,0
purple,number,1
purple,number,1
purple,number,2
purple,number,2
purple,number,3
purple,number,3
purple,number,4
purple,number,4
purple,number,5
purple,number,5
purple,number,6
purple,number,6
purple,number,7
purple,number,7
purple,number,8
purple,number,8
purple,number,9
purple,number,9
purple,action,skip
purple,action,skip
purple,action,reverse
purple,action,reverse
purple,action,draw2
purple,action,draw2
